timestamp_ms,emg_voltage_V,rms_V,baseline_rms_V,state
49069,0.0612519,0.10044,0.0597409,flex
49072,0.0790024,0.100715,0.0597409,flex
49074,0.0598768,0.100657,0.0597409,flex
49077,0.064377,0.100541,0.0597409,flex
49080,0.0593768,0.100465,0.0597409,flex
49083,0.0598768,0.10043,0.0597409,flex
49085,0.098253,0.100936,0.0597409,flex
49088,0.0611269,0.100954,0.0597409,flex
49091,0.0610019,0.10096,0.0597409,flex
49093,0.123004,0.1021,0.0597409,flex
49096,0.0596268,0.102108,0.0597409,flex
49098,0.0787524,0.102354,0.0597409,flex
49101,0.0600018,0.102295,0.0597409,flex
49103,0.148005,0.104063,0.0597409,flex
49106,0.356136,0.11528,0.0597409,flex
49109,0.620144,0.144617,0.0597409,flex
49111,0.301009,0.150502,0.0597409,flex
49114,0.629269,0.173544,0.0597409,flex
49117,0.130754,0.173978,0.0597409,flex
49119,0.0585018,0.173339,0.0597409,flex
49122,0.0586268,0.170983,0.0597409,flex
49124,0.0585018,0.170185,0.0597409,flex
49127,0.0582518,0.17018,0.0597409,flex
49130,0.0608769,0.170192,0.0597409,flex
49133,0.0588768,0.170177,0.0597409,flex
49136,0.0696271,0.170256,0.0597409,flex
49139,0.066752,0.170308,0.0597409,flex
49142,0.0623769,0.169325,0.0597409,flex
49145,0.0598768,0.168586,0.0597409,flex
49148,0.202131,0.170793,0.0597409,flex
49151,0.0725022,0.170861,0.0597409,flex
49154,0.285509,0.175141,0.0597409,flex
49156,0.15138,0.17619,0.0597409,flex
49159,0.0590018,0.173167,0.0597409,flex
49161,0.0673771,0.172254,0.0597409,flex
49165,0.0581268,0.171861,0.0597409,flex
49168,0.0626269,0.171149,0.0597409,flex
49170,0.0941279,0.169946,0.0597409,flex
49173,0.065627,0.168372,0.0597409,flex
49176,0.0813775,0.167415,0.0597409,flex
49178,0.0608769,0.165637,0.0597409,flex
49181,0.0587518,0.165624,0.0597409,flex
49184,0.0630019,0.165656,0.0597409,flex
49187,0.124754,0.166368,0.0597409,flex
49190,0.112128,0.166673,0.0597409,flex
49192,0.0571267,0.166563,0.0597409,flex
49195,0.0605018,0.166571,0.0597409,flex
49198,0.0605018,0.166581,0.0597409,flex
49201,0.0600018,0.166592,0.0597409,flex
49203,0.0600018,0.166599,0.0597409,flex
49206,0.064752,0.166626,0.0597409,flex
49209,0.0630019,0.166489,0.0597409,flex
49211,0.0830025,0.166688,0.0597409,flex
49214,0.0697521,0.166731,0.0597409,flex
49217,0.0600018,0.166735,0.0597409,flex
49220,0.0598768,0.166735,0.0597409,flex
49222,0.0808775,0.166548,0.0597409,flex
49225,0.0590018,0.166533,0.0597409,flex
49228,0.276508,0.170845,0.0597409,flex
49230,0.066627,0.170218,0.0597409,flex
49233,0.0695021,0.170293,0.0597409,flex
49235,0.0608769,0.170146,0.0597409,flex
49238,0.0616269,0.170158,0.0597409,flex
49240,0.0800024,0.169244,0.0597409,flex
49243,0.066377,0.161849,0.0597409,flex
49245,0.063752,0.136326,0.0597409,flex
49249,0.0871277,0.130094,0.0597409,flex
49251,0.098003,0.0959009,0.0597409,flex
49254,0.186256,0.0977184,0.0597409,flex
49257,0.0623769,0.0977663,0.0597409,flex
49259,0.065377,0.0978519,0.0597409,flex
49262,0.0778774,0.0981216,0.0597409,flex
49265,0.0620019,0.0981675,0.0597409,flex
49268,0.0688771,0.0982732,0.0597409,flex
49271,0.0716272,0.0984424,0.0597409,flex
49274,0.0620019,0.0983404,0.0597409,flex
49277,0.118754,0.0993165,0.0597409,flex
49279,0.0632519,0.0993275,0.0597409,flex
49282,0.066627,0.0994135,0.0597409,flex
49286,0.0602518,0.0955955,0.0597409,flex
49288,0.0613769,0.0954396,0.0597409,flex
49291,0.0598768,0.0868914,0.0597409,rest
49294,0.0670021,0.0847442,0.0597409,rest
49297,0.0715022,0.0849365,0.0597409,rest
49300,0.098753,0.085548,0.0597409,rest
49303,0.0585018,0.0855531,0.0597409,rest
49306,0.241382,0.0916853,0.0597409,flex
49308,0.205256,0.095245,0.0597409,flex
49311,0.264258,0.101893,0.0597409,flex
49314,0.0947529,0.102124,0.0597409,flex
49317,0.0917528,0.102584,0.0597409,flex
49320,0.0565017,0.102559,0.0597409,flex
49323,0.0755023,0.102727,0.0597409,flex
49326,0.0707522,0.101694,0.0597409,flex
49328,0.0622519,0.100836,0.0597409,flex
49331,0.0610019,0.100881,0.0597409,flex
49334,0.0620019,0.100899,0.0597409,flex
49337,0.0585018,0.100876,0.0597409,flex
49340,0.0610019,0.100888,0.0597409,flex
49343,0.0610019,0.1009,0.0597409,flex
49346,0.064002,0.10089,0.0597409,flex
49349,0.0625019,0.100884,0.0597409,flex
49352,0.0596268,0.100553,0.0597409,flex
49354,0.0587518,0.100412,0.0597409,flex
49357,0.065252,0.100478,0.0597409,flex
49360,0.0612519,0.100494,0.0597409,flex
49363,0.105128,0.100942,0.0597409,flex
49365,0.0597518,0.100951,0.0597409,flex
49368,0.0631269,0.0934967,0.0597409,flex
49371,0.0597518,0.0934037,0.0597409,flex
49374,0.0611269,0.0932865,0.0597409,flex
49376,0.313385,0.10292,0.0597409,flex
49379,0.163005,0.105109,0.0597409,flex
49382,0.222757,0.109144,0.0597409,flex
49385,0.098503,0.109628,0.0597409,flex
49388,0.124754,0.110672,0.0597409,flex
